Name,URL,Address,ZIP
仙仁温泉 花仙庵 岩の湯,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ni129,長野県須坂市仁礼町3159,382-0034
沓掛温泉 満山荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nm148,長野県小県郡青木村沓掛434,386-1606
地獄谷温泉 後楽館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nk135,長野県下高井郡山ノ内町大字平隠6818-1,381-0401
小谷温泉 山田旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ny151,長野県北安曇郡小谷村中土18836,399-9511
葛温泉 仙人閣,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ns140,長野県大町市平2118,398-0001
有明 中房温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nn144,長野県安曇野市穂高有明7226,399-8306
白骨温泉 小梨の湯 笹屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nk136,長野県松本市安曇白骨温泉,390-1515
乗鞍高原温泉 神嶽の湯 みたけ荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nm149,長野県松本市安曇4291-1,390-1513
坂巻温泉 坂巻温泉旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ns137,長野県松本市安曇上高地,390-1516
中の湯温泉 中の湯温泉旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nn143,長野県松本市安曇4467,390-1516
八ヶ岳 八ヶ岳名湯 唐沢鉱泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nk134,長野県茅野市豊平東岳4733-1,391-0213
毒沢鉱泉 神乃湯,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nk133,長野県諏訪郡下諏訪町社7083,393-0000
崖の湯温泉 薬師平茜宿,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ny150,長野県松本市内田3405,399-0023
鹿塩温泉 湯元 山塩館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ny153,長野県下伊那郡大鹿村鹿塩631,399-3501
不動温泉 奥天竜 不動温泉佐和屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nf146,長野県飯田市千代2303-1,399-2222
新穂高温泉 水明館佳留萱山荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gs156,岐阜県高山市奥飛騨温泉郷神坂555,506-1421
新穂高温泉 槍見舘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gy160,岐阜県高山市奥飛騨温泉郷神坂587番地,506-1421
新穂高温泉 旧中尾温泉 谷旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gt158,岐阜県高山市奥飛騨温泉郷中尾151,506-1422
新穂高温泉 野の花山荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gn199,岐阜県高山市奥飛騨温泉郷神坂707-316,506-1421
平瀬温泉 藤助の湯 ふじや,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gt159,岐阜県大野郡白川村平瀬325-1,501-5507
神明温泉 湯元 すぎ嶋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gy161,岐阜県関市板取4838番地,501-2901
湯屋温泉 炭酸泉の宿　泉岳舘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gs157,岐阜県下呂市小坂町湯屋427番地,509-3113
濁河温泉 朝日荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ga196,岐阜県下呂市小坂町落合2383,509-3111
黒部峡谷 名剣温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=tm117,富山県黒部市宇奈月町欅平,938-0200
立山 室堂平 みくりが池温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=tm116,富山県中新川郡立山町室堂平,930-1414
中宮温泉 にしやま旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=in120,石川県白山市中宮温泉,920-2324
岩間温泉 山崎旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=iy121,石川県白山市尾添ム-4-1,920-2333
白山温泉 永井旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=in119,石川県白山市白峰ノ38番地,920-2501
虹岳島温泉 虹岳島荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fk122,福井県三方上中郡若狭町気山334-1-8,919-1301
湯の峰温泉 あづまや,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=wa170,和歌山県田辺市本宮町湯峯122,647-1732
川湯温泉 冨士屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=wf172,和歌山県田辺市本宮町川湯1452,647-1717
龍神温泉 下御殿,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ws171,和歌山県田辺市龍神村龍神38,645-0525
岩井温泉 岩井屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ti173,鳥取県岩美郡岩美町岩井544,681-0024
祖谷温泉 ホテル祖谷温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ti175,徳島県三好市池田町松尾松本367番地28,778-0165
寒の地獄温泉 山の宿 寒の地獄旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ok181,大分県玖珠郡九重町田野257番地,879-4911
壁湯温泉 旅館 福元屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=or182,大分県玖珠郡九重町大字町田62-1,879-4723
筋湯温泉 喜安屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ok194,大分県玖珠郡九重町大字湯坪字筋湯527,879-4912
黒川温泉 新明館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ks177,熊本県阿蘇郡南小国町大字満願寺6608,869-2402
黒川温泉 旅館 山河,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=kr180,熊本県阿蘇郡南小国町大字満願寺6961-1,869-2402
内牧温泉 親和苑,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ks188,熊本県阿蘇市内牧1354,869-2301
弓ヶ浜温泉 湯楽亭,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ky179,熊本県上天草市大矢野町上5190-2,869-3602
小浜温泉 旅館 國崎,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nr176,長崎県雲仙市小浜町南本町10-8,854-0513
湯本温泉 奥壱岐千年湯　平山旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nh200,長崎県壱岐市勝本町立石西触77番地,811-5556
栗野岳温泉 南洲館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=kn184,鹿児島県姶良郡湧水町木場6357,899-6201
妙見温泉 おりはし旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ko183,鹿児島県霧島市牧園町下中津川2233,899-6506
吹上温泉 みどり荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=km185,鹿児島県日置市吹上町湯之浦910,899-3303
